@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute features-1 numeric
@attribute features-2 numeric
@attribute features-3 numeric
@attribute features-4 numeric
@attribute features-5 numeric
@attribute features-6 numeric
@attribute features-7 numeric
@attribute state {0,1,2,3,4}
@attribute intensity numeric

@data
4089,'2026/07/05 20:02:28:604',45,0.673318,0.77036,0.013532,-0.006579,0.009557,0.711493,0.009909,1,0.2
4090,'2026/07/05 20:02:28:712',45,0.660269,0.78789,0.013532,-0.006579,0.009557,0.687945,0.009909,1,0.2
4091,'2026/07/05 20:02:28:820',45,0.647046,0.802228,0.011918,-0.006579,0.007524,0.666613,0.009909,1,0.2
4092,'2026/07/05 20:02:28:918',45,0.630528,0.813808,0.013547,-0.009337,0.005382,0.666613,0.009909,1,0.2
4093,'2026/07/05 20:02:29:031',45,0.611537,0.822787,0.013547,-0.009337,0.005382,0.645291,0.009909,1,0.2
4094,'2026/07/05 20:02:29:117',45,0.592818,0.829518,0.013547,-0.009337,0.003657,0.645291,0.009909,1,0.2
4095,'2026/07/05 20:02:29:224',45,0.573602,0.833413,0.013456,-0.010903,0.001098,0.645291,0.009909,1,0.2
4096,'2026/07/05 20:02:29:340',45,0.551708,0.833413,0.013456,-0.010903,0.001098,0.625272,0.009909,1,0.2
4097,'2026/07/05 20:02:29:448',45,0.531494,0.833413,0.013456,-0.010903,-0.000476,0.625272,0.009909,1,0.2
4098,'2026/07/05 20:02:29:546',45,0.511242,0.828103,0.013456,-0.010903,-0.002368,0.625272,0.009909,1,0.2
4099,'2026/07/05 20:02:29:656',45,0.491383,0.822139,0.013456,-0.010903,-0.002368,0.625272,0.009909,1,0.2
4100,'2026/07/05 20:02:29:764',45,0.471351,0.812283,0.013456,-0.010903,-0.005025,0.625272,0.009909,1,0.2
4101,'2026/07/05 20:02:29:877',45,0.453617,0.80217,0.011782,-0.009184,-0.005025,0.625272,0.009909,1,0.2
4102,'2026/07/05 20:02:29:990',45,0.437779,0.789515,0.011782,-0.009184,-0.00742,0.625272,0.009909,1,0.2
4103,'2026/07/05 20:02:30:163',45,0.424219,0.775242,0.011782,-0.007061,-0.00742,0.647422,0.009909,1,0.2
4104,'2026/07/05 20:02:30:213',45,0.413534,0.75804,0.013838,-0.004739,-0.010143,0.647422,0.009909,1,0.2
4105,'2026/07/05 20:02:30:317',45,0.405374,0.73942,0.013838,-0.004739,-0.010143,0.668819,0.009909,1,0.2
4106,'2026/07/05 20:02:30:421',45,0.402022,0.721173,0.012151,-0.002734,-0.010143,0.668819,0.009909,1,0.2
4107,'2026/07/05 20:02:30:526',45,0.396648,0.701938,0.012151,-0.002734,-0.010143,0.695025,0.009909,1,0.2
4108,'2026/07/05 20:02:30:638',45,0.393235,0.682635,0.012151,-0.001124,-0.010143,0.71708,0.009909,1,0.2
4109,'2026/07/05 20:02:30:878',45,0.393235,0.662791,0.012151,0.000675,-0.010143,0.71708,0.009909,1,0.2
4110,'2026/07/05 20:02:30:879',45,0.396496,0.644682,0.012151,0.000675,-0.010143,0.738792,0.009909,1,0.2
4111,'2026/07/05 20:02:30:978',45,0.396496,0.628831,0.010118,0.000675,-0.008176,0.738792,0.009909,1,0.2
4112,'2026/07/05 20:02:31:091',45,0.40577,0.613764,0.010118,0.003205,-0.008176,0.762682,0.009909,1,0.2
4113,'2026/07/05 20:02:31:208',45,0.412114,0.601067,0.010118,0.003205,-0.006534,0.762682,0.00672,1,0.2
4114,'2026/07/05 20:02:31:313',45,0.421881,0.588414,0.010118,0.004987,-0.006534,0.762682,0.00672,1,0.2
4115,'2026/07/05 20:02:31:425',45,0.431314,0.57748,0.010118,0.004987,-0.006534,0.762682,0.00672,1,0.2
4116,'2026/07/05 20:02:31:542',45,0.44345,0.567858,0.010118,0.004987,-0.004937,0.762682,0.00672,1,0.2
4117,'2026/07/05 20:02:31:653',45,0.45546,0.559546,0.008374,0.004987,-0.004937,0.782767,0.00672,1,0.2
4118,'2026/07/05 20:02:31:749',45,0.466691,0.553088,0.008374,0.004987,-0.003086,0.782767,0.00672,1,0.2
4119,'2026/07/05 20:02:31:853',45,0.479454,0.549783,0.008374,0.006584,-0.003086,0.782767,0.00672,1,0.2
4120,'2026/07/05 20:02:31:973',45,0.490896,0.549783,0.008374,0.006584,-0.00122,0.782767,0.00672,1,0.2
4121,'2026/07/05 20:02:32:202',45,0.502583,0.546467,0.008212,0.006622,-0.00122,0.782767,0.00672,1,0.2
4122,'2026/07/05 20:02:32:203',45,0.515114,0.546467,0.008212,0.006622,0.00044,0.782767,0.00672,1,0.2
4123,'2026/07/05 20:02:32:300',45,0.527567,0.546467,0.008212,0.006622,0.00044,0.782767,0.00672,1,0.2
4124,'2026/07/05 20:02:32:402',45,0.539988,0.550039,0.008212,0.006622,0.00044,0.782767,0.00672,1,0.2
4125,'2026/07/05 20:02:32:504',45,0.551944,0.553588,0.008212,0.006622,0.00207,0.782767,0.00672,1,0.2
4126,'2026/07/05 20:02:32:598',45,0.564461,0.562584,0.008212,0.006622,0.00358,0.782767,0.00672,1,0.2
4127,'2026/07/05 20:02:32:713',45,0.575643,0.569463,0.008212,0.006622,0.00358,0.782767,0.00672,1,0.2
4128,'2026/07/05 20:02:32:824',45,0.58527,0.576071,0.006697,0.004977,0.00358,0.782767,0.00672,1,0.2
4129,'2026/07/05 20:02:32:925',45,0.595214,0.587028,0.008869,0.004977,0.005715,0.782767,0.00672,1,0.2
4130,'2026/07/05 20:02:33:045',45,0.603422,0.597115,0.007354,0.004977,0.005715,0.782767,0.00672,1,0.2
4131,'2026/07/05 20:02:33:150',45,0.611321,0.608643,0.007354,0.004977,0.005715,0.782767,0.00672,1,0.2
4132,'2026/07/05 20:02:33:260',45,0.617913,0.62013,0.007354,0.003208,0.005715,0.782767,0.00672,1,0.2
4133,'2026/07/05 20:02:33:371',45,0.62394,0.632038,0.007354,0.003208,0.005715,0.759174,0.00672,1,0.2
4134,'2026/07/05 20:02:33:483',45,0.629034,0.643991,0.007354,0.003208,0.005715,0.759174,0.00672,1,0.2
4135,'2026/07/05 20:02:33:594',45,0.632949,0.656662,0.007354,0.001694,0.005715,0.759174,0.00672,1,0.2
4136,'2026/07/05 20:02:33:691',45,0.632949,0.669939,0.007354,0.001694,0.005715,0.759174,0.00672,1,0.2
4137,'2026/07/05 20:02:33:799',45,0.63634,0.683326,0.007354,0.001694,0.005715,0.759174,0.00672,1,0.2
4138,'2026/07/05 20:02:33:900',45,0.63634,0.697171,0.007354,-0.000795,0.007461,0.738686,0.00672,1,0.2
4139,'2026/07/05 20:02:34:040',45,0.632264,0.711243,0.007354,-0.000795,0.007461,0.738686,0.00672,1,0.2
4140,'2026/07/05 20:02:34:110',45,0.626969,0.724118,0.007354,-0.002529,0.007461,0.715823,0.00672,1,0.2
4141,'2026/07/05 20:02:34:205',45,0.617728,0.736902,0.009662,-0.004511,0.007461,0.69561,0.00672,1,0.2
4142,'2026/07/05 20:02:34:308',45,0.607545,0.747668,0.009662,-0.004511,0.005667,0.69561,0.00672,1,0.2
4143,'2026/07/05 20:02:34:413',45,0.597923,0.756634,0.00814,-0.004511,0.005667,0.671454,0.00672,1,0.2
4144,'2026/07/05 20:02:34:513',45,0.584143,0.765587,0.009715,-0.006697,0.005667,0.671454,0.00672,1,0.2
4145,'2026/07/05 20:02:34:622',45,0.57038,0.77335,0.009715,-0.006697,0.003988,0.671454,0.00672,1,0.2
4146,'2026/07/05 20:02:34:737',45,0.554044,0.7797,0.009715,-0.00831,0.003988,0.64939,0.00672,1,0.2
4147,'2026/07/05 20:02:34:973',45,0.536368,0.784491,0.009715,-0.00831,0.002149,0.64939,0.00672,1,0.2
4148,'2026/07/05 20:02:34:973',45,0.51704,0.784491,0.011668,-0.010381,0.002149,0.64939,0.00672,1,0.2
4149,'2026/07/05 20:02:35:061',45,0.496535,0.787581,0.011668,-0.010381,0.000467,0.64939,0.00672,1,0.2
4150,'2026/07/05 20:02:35:171',45,0.478143,0.787581,0.010148,-0.010381,0.000467,0.628261,0.00672,1,0.2
4151,'2026/07/05 20:02:35:283',45,0.458339,0.781122,0.012605,-0.010381,-0.003077,0.628261,0.00672,1,0.2
4152,'2026/07/05 20:02:35:388',45,0.440601,0.773299,0.012605,-0.008688,-0.003077,0.628261,0.00672,1,0.2
4153,'2026/07/05 20:02:35:503',45,0.423915,0.762023,0.012605,-0.008688,-0.005686,0.649569,0.00672,1,0.2
4154,'2026/07/05 20:02:35:592',45,0.409507,0.750499,0.011105,-0.006916,-0.005686,0.649569,0.00672,1,0.2
4155,'2026/07/05 20:02:35:696',45,0.397293,0.738739,0.011105,-0.006916,-0.005686,0.649569,0.00672,1,0.2
4156,'2026/07/05 20:02:35:818',45,0.389295,0.724544,0.011105,-0.004501,-0.007219,0.674598,0.00672,1,0.2
4157,'2026/07/05 20:02:35:931',45,0.38338,0.712092,0.009568,-0.002901,-0.007219,0.674598,0.00672,1,0.2
4158,'2026/07/05 20:02:36:042',45,0.37995,0.699905,0.009568,-0.001106,-0.005701,0.696399,0.00672,1,0.2
4159,'2026/07/05 20:02:36:151',45,0.37995,0.68759,0.009568,-0.001106,-0.005701,0.696399,0.00672,1,0.2
4160,'2026/07/05 20:02:36:265',45,0.37995,0.675398,0.009568,0.000883,-0.005701,0.717616,0.00672,1,0.2
4161,'2026/07/05 20:02:36:349',45,0.37995,0.663347,0.007957,0.000883,-0.005701,0.717616,0.00672,1,0.2
4162,'2026/07/05 20:02:36:452',45,0.384339,0.651959,0.007957,0.000883,-0.005701,0.717616,0.00672,1,0.2
4163,'2026/07/05 20:02:36:551',45,0.387874,0.641733,0.007957,0.000883,-0.005701,0.741683,0.00672,1,0.2
4164,'2026/07/05 20:02:36:660',45,0.394171,0.631295,0.007957,0.003196,-0.005701,0.741683,0.00672,1,0.2
4165,'2026/07/05 20:02:36:771',45,0.400015,0.622546,0.006365,0.003196,-0.004167,0.741683,0.00672,1,0.2
4166,'2026/07/05 20:02:36:879',45,0.408697,0.614463,0.007944,0.003196,-0.004167,0.766032,0.00672,1,0.2
4167,'2026/07/05 20:02:36:985',45,0.4165,0.60714,0.006278,0.003196,-0.004167,0.766032,0.00672,1,0.2
4168,'2026/07/05 20:02:37:097',45,0.424525,0.6002,0.006278,0.003196,-0.004167,0.766032,0.00672,1,0.2
4169,'2026/07/05 20:02:37:199',45,0.432148,0.594082,0.006278,0.003196,-0.004167,0.766032,0.00672,1,0.2
4170,'2026/07/05 20:02:37:318',45,0.440359,0.58898,0.006278,0.003196,-0.002442,0.766032,0.00672,1,0.2
4171,'2026/07/05 20:02:37:417',45,0.448504,0.584674,0.006278,0.003196,-0.002442,0.766032,0.00672,1,0.2
4172,'2026/07/05 20:02:37:528',45,0.45656,0.581315,0.006278,0.003196,-0.002442,0.766032,0.00672,1,0.2
4173,'2026/07/05 20:02:37:644',45,0.465007,0.581315,0.004757,0.003196,-0.002442,0.766032,0.003674,1,0.2
4174,'2026/07/05 20:02:37:756',45,0.473016,0.578121,0.004757,0.003196,-0.000813,0.766032,0.003674,1,0.2
4175,'2026/07/05 20:02:37:866',45,0.481083,0.578121,0.004757,0.003196,-0.000813,0.766032,0.003674,1,0.2
4176,'2026/07/05 20:02:38:038',45,0.488943,0.578121,0.004757,0.003196,-0.000813,0.766032,0.003674,1,0.2
4177,'2026/07/05 20:02:38:088',45,0.496704,0.578121,0.004757,0.003196,-0.000813,0.766032,0.003674,1,0.2
